display_name,id,group,category,type,asset_path,icon_path
CS Table (2 Persons),CS-TABLE-2-PERSONS,CS Table,CS Table,Loose Fixture,,
CS Table (3 Persons),CS-TABLE-3-PERSONS,CS Table,CS Table,Loose Fixture,,
CS Table (4 Persons),CS-TABLE-4-PERSONS,CS Table,CS Table,Loose Fixture,,
CS Table (5 Persons),CS-TABLE-5-PERSONS,CS Table,CS Table,Loose Fixture,,
Accessories Table,ACCESSORIES-TABLE,Accessories Table,Accessories Table,Loose Fixture,,
Center Bar (14VM),CENTER-BAR-14VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar (18VM),CENTER-BAR-18VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar (22VM),CENTER-BAR-22VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar (24VM),CENTER-BAR-24VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar (26VM),CENTER-BAR-26VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar (30VM),CENTER-BAR-30VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar (32VM),CENTER-BAR-32VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar (34VM),CENTER-BAR-34VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar (38VM),CENTER-BAR-38VM,Center Bar,Center Bar,Loose Fixture,,
Center Bar Narrow (6VM),CENTER-BAR-NARROW-6VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (8VM),CENTER-BAR-NARROW-8VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (10VM),CENTER-BAR-NARROW-10VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (12VM),CENTER-BAR-NARROW-12VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (14VM),CENTER-BAR-NARROW-14VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (16VM),CENTER-BAR-NARROW-16VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (18VM),CENTER-BAR-NARROW-18VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (20VM),CENTER-BAR-NARROW-20VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (22VM),CENTER-BAR-NARROW-22VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (24VM),CENTER-BAR-NARROW-24VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Center Bar Narrow (26VM),CENTER-BAR-NARROW-26VM,Center Bar Narrow,Center Bar,Loose Fixture,,
Training Table (4 Persons),TRAINING-TABLE-4-PERSONS,Training Table,Training Table,Loose Fixture,,
Training Table (6 Persons),TRAINING-TABLE-6-PERSONS,Training Table,Training Table,Loose Fixture,,
New Launch (2/A),NEW-LAUNCH-2A,New Launch,Wall Module,Wall Fixture,,
New Launch (3/A),NEW-LAUNCH-3A,New Launch,Wall Module,Wall Fixture,,
New Launch (3/B),NEW-LAUNCH-3B,New Launch,Wall Module,Wall Fixture,,
New Launch (4/A),NEW-LAUNCH-4A,New Launch,Wall Module,Wall Fixture,,
Power of 10 (2/A),POWER-OF-10-2A,Power of 10,Wall Module,Wall Fixture,,
Power of 10 (3/A),POWER-OF-10-3A,Power of 10,Wall Module,Wall Fixture,,
Power of 10 (4/A),POWER-OF-10-4A,Power of 10,Wall Module,Wall Fixture,,
Accessories (2/A),ACCESSORIES-2A,Accessories,Wall Module,Wall Fixture,,
Accessories (3/A),ACCESSORIES-3A,Accessories,Wall Module,Wall Fixture,,
Accessories (4/A),ACCESSORIES-4A,Accessories,Wall Module,Wall Fixture,,
N-1 (2/A),N1-2A,N-1,Wall Module,Wall Fixture,,
N-1 (3/A),N1-3A,N-1,Wall Module,Wall Fixture,,
N-1 (4/A),N1-4A,N-1,Wall Module,Wall Fixture,,
N-1 (4/B),N1-4B,N-1,Wall Module,Wall Fixture,,
Tablet (2/A),TABLET-2A,Tablet,Wall Module,Wall Fixture,,
Tablet (3/A),TABLET-3A,Tablet,Wall Module,Wall Fixture,,
Tablet (4/A),TABLET-4A,Tablet,Wall Module,Wall Fixture,,
Training (2/A),TRAINING-2A,Training,Wall Module,Wall Fixture,,
Training (3/A),TRAINING-3A,Training,Wall Module,Wall Fixture,,
Training (4/A),TRAINING-4A,Training,Wall Module,Wall Fixture,,
Training (4/B),TRAINING-4B,Training,Wall Module,Wall Fixture,,
Concrete Wall Panel,CONCRETE-WALL-PANEL,Concrete Wall Panel,Wall Panel,Wall Fixture,,
Zig,ZIG,Zig,Miscellaneous,Miscellaneous,,
Brand Wall (2x1),BRAND-WALL-2X1,Brand Wall,Excluded,Excluded,,
Brand Wall (2x2),BRAND-WALL-2X2,Brand Wall,Excluded,Excluded,,
Brand Wall (3x3),BRAND-WALL-3X3,Brand Wall,Excluded,Excluded,,
Samsung,SIGNAGE-SAMSUNG,Signage,Excluded,Excluded,,
Galaxy,SIGNAGE-GALAXY,Signage,Excluded,Excluded,,
Checkout,SIGNAGE-CHECKOUT,Signage,Excluded,Excluded,,
Customer Service,SIGNAGE-CUSTOMER-SERVICE,Signage,Excluded,Excluded,,
