item_id,quantity,component_id
CS-TABLE-2-PERSONS,1,CS-2
CS-TABLE-3-PERSONS,1,CS-3
CS-TABLE-4-PERSONS,1,CS-4
CS-TABLE-5-PERSONS,1,CS-5
ACCESSORIES-TABLE,1,AT
ACCESSORIES-TABLE,1,HK-2
CENTER-BAR-14VM,2,CB-3M-END
CENTER-BAR-14VM,8,CB-2M
CENTER-BAR-18VM,2,CB-3M-END
CENTER-BAR-18VM,6,CB-2M
CENTER-BAR-22VM,2,CB-3M-END
CENTER-BAR-22VM,8,CB-2M
CENTER-BAR-24VM,2,CB-3M-END
CENTER-BAR-24VM,6,CB-3M
CENTER-BAR-26VM,2,CB-3M-END
CENTER-BAR-26VM,4,CB-3M
CENTER-BAR-26VM,4,CB-2M
CENTER-BAR-30VM,2,CB-3M-END
CENTER-BAR-30VM,12,CB-2M
CENTER-BAR-32VM,2,CB-3M-END
CENTER-BAR-32VM,2,CB-3M
CENTER-BAR-32VM,10,CB-2M
CENTER-BAR-34VM,2,CB-3M-END
CENTER-BAR-34VM,4,CB-3M
CENTER-BAR-34VM,8,CB-2M
CENTER-BAR-38VM,2,CB-3M-END
CENTER-BAR-38VM,8,CB-3M
CENTER-BAR-38VM,4,CB-2M
CENTER-BAR-NARROW-6VM,1,NAR-4M
CENTER-BAR-NARROW-6VM,2,NAR-1M-END
CENTER-BAR-NARROW-8VM,1,NAR-6M
CENTER-BAR-NARROW-8VM,2,NAR-1M-END
CENTER-BAR-NARROW-10VM,2,NAR-4M
CENTER-BAR-NARROW-10VM,2,NAR-1M-END
CENTER-BAR-NARROW-12VM,1,NAR-6M
CENTER-BAR-NARROW-12VM,1,NAR-4M
CENTER-BAR-NARROW-12VM,2,NAR-1M-END
CENTER-BAR-NARROW-14VM,2,NAR-6M
CENTER-BAR-NARROW-14VM,2,NAR-1M-END
CENTER-BAR-NARROW-16VM,1,NAR-6M
CENTER-BAR-NARROW-16VM,2,NAR-4M
CENTER-BAR-NARROW-16VM,2,NAR-1M-END
CENTER-BAR-NARROW-18VM,2,NAR-6M
CENTER-BAR-NARROW-18VM,1,NAR-4M
CENTER-BAR-NARROW-18VM,2,NAR-1M-END
CENTER-BAR-NARROW-20VM,3,NAR-6M
CENTER-BAR-NARROW-20VM,2,NAR-1M-END
CENTER-BAR-NARROW-22VM,2,NAR-6M
CENTER-BAR-NARROW-22VM,2,NAR-4M
